transaction_id,customer_id,purchase_datetime,product_id,quantity,price,channel,promo_flag,amount
1,103,2024-12-14 14:00:00,122,1,117.91,store,0,117.91
2,459,2024-03-28 20:00:00,2,1,30.19,app,0,30.19
3,192,2024-10-03 00:00:00,49,1,112.96,store,0,112.96
4,682,2024-07-06 15:00:00,64,1,33.44,web,0,33.44
5,819,2024-05-14 20:00:00,60,1,25.69,app,0,25.69
6,777,2024-12-11 20:00:00,199,1,56.6,web,0,56.6
7,35,2024-07-24 16:00:00,134,1,54.68,app,0,54.68
8,822,2024-07-09 17:00:00,14,1,22.37,store,1,22.37
9,456,2024-08-02 07:00:00,53,2,108.14,app,1,216.28
10,188,2024-02-10 14:00:00,88,1,12.96,web,0,12.96
11,472,2024-03-03 10:00:00,123,1,37.11,web,1,37.11
12,41,2024-01-28 06:00:00,48,2,54.96,store,0,109.92
13,728,2024-10-19 02:00:00,101,1,35.05,store,0,35.05
14,769,2024-01-05 22:00:00,15,1,34.7,app,0,34.7
15,461,2024-06-27 06:00:00,151,1,115.26,store,0,115.26
16,171,2024-01-29 03:00:00,28,3,36.25,app,0,108.75
17,574,2024-05-13 11:00:00,92,1,32.92,web,0,32.92
18,225,2024-10-09 19:00:00,155,1,30.06,web,0,30.06
19,225,2024-11-02 09:00:00,96,1,32.91,web,0,32.91
20,830,2024-02-21 11:00:00,101,1,24.27,web,1,24.27
21,699,2024-04-22 01:00:00,129,1,110.35,store,0,110.35
22,53,2024-06-20 05:00:00,184,1,51.21,store,0,51.21
23,294,2024-10-06 04:00:00,144,1,37.35,web,0,37.35
24,187,2024-11-21 15:00:00,164,1,54.89,store,0,54.89
25,511,2024-05-26 19:00:00,168,1,64.11,store,1,64.11
26,641,2024-09-23 17:00:00,144,3,21.55,app,1,64.65
27,572,2024-01-02 00:00:00,160,1,58.37,store,0,58.37
28,233,2024-04-08 18:00:00,54,1,37.71,web,0,37.71
29,587,2024-04-22 07:00:00,112,1,58.71,app,1,58.71
30,153,2024-12-14 17:00:00,163,1,22.91,web,0,22.91
31,161,2024-03-08 00:00:00,136,1,55.5,store,0,55.5
32,640,2024-02-02 15:00:00,22,1,35.73,app,0,35.73
33,230,2024-12-30 18:00:00,21,2,33.91,app,0,67.82
34,879,2024-11-12 15:00:00,17,1,36.92,app,1,36.92
35,373,2024-01-06 02:00:00,46,1,127.85,web,0,127.85
36,700,2024-04-25 20:00:00,128,1,10.95,app,0,10.95
37,735,2024-02-23 02:00:00,86,1,23.69,store,0,23.69
38,155,2024-09-29 07:00:00,39,1,36.38,web,0,36.38
39,538,2024-12-20 17:00:00,135,2,102.45,web,0,204.9
40,20,2024-11-16 07:00:00,143,1,63.3,app,0,63.3
41,727,2024-12-07 18:00:00,58,1,125.17,app,0,125.17
42,682,2024-11-21 14:00:00,8,1,54.9,web,0,54.9
43,620,2024-01-05 06:00:00,94,1,105.83,store,0,105.83
44,936,2024-11-03 15:00:00,147,3,60.72,web,0,182.16
45,787,2024-04-01 22:00:00,23,1,25.78,store,0,25.78
46,641,2024-02-27 00:00:00,117,1,11.98,web,1,11.98
47,999,2024-07-10 04:00:00,144,1,32.23,store,0,32.23
48,697,2024-10-11 13:00:00,190,1,10.93,web,0,10.93
49,218,2024-12-06 06:00:00,10,1,111.96,app,0,111.96
50,802,2024-06-28 09:00:00,69,1,23.01,web,0,23.01
51,792,2024-12-01 22:00:00,84,3,58.79,app,0,176.37
52,545,2024-06-27 10:00:00,168,3,37.38,app,0,112.14000000000001
53,285,2024-01-12 13:00:00,81,1,35.56,app,0,35.56
54,922,2024-03-30 01:00:00,114,1,60.39,web,1,60.39
55,376,2024-08-04 20:00:00,152,3,52.66,store,1,157.98
56,548,2024-04-05 23:00:00,183,2,107.16,web,0,214.32
57,867,2024-12-26 16:00:00,86,1,62.4,web,1,62.4
58,177,2024-04-09 11:00:00,199,3,30.82,app,0,92.46000000000001
59,564,2024-12-04 14:00:00,25,1,108.8,store,0,108.8
60,565,2024-05-30 15:00:00,186,1,127.93,store,1,127.93
61,634,2024-05-12 02:00:00,76,2,36.35,web,0,72.7
62,492,2024-09-09 05:00:00,137,1,106.68,app,1,106.68
63,194,2024-01-05 04:00:00,145,1,111.12,store,1,111.12
64,301,2024-05-11 03:00:00,182,1,36.99,store,0,36.99
65,858,2024-01-19 06:00:00,126,1,100.34,app,0,100.34
66,456,2024-11-12 08:00:00,190,1,35.25,web,0,35.25
67,369,2024-11-07 00:00:00,160,1,20.07,web,0,20.07
68,149,2024-03-20 21:00:00,147,3,51.11,web,0,153.32999999999998
69,233,2024-10-31 13:00:00,118,1,11.88,store,1,11.88
70,953,2024-01-12 09:00:00,117,3,51.6,app,0,154.8
71,90,2024-05-15 17:00:00,192,1,129.23,store,0,129.23
72,145,2024-07-19 00:00:00,157,1,120.54,web,1,120.54
73,253,2024-03-22 18:00:00,56,1,11.25,app,1,11.25
74,877,2024-01-05 22:00:00,177,1,11.44,store,0,11.44
75,63,2024-08-04 21:00:00,98,2,12.51,web,0,25.02
76,385,2024-11-06 05:00:00,102,1,129.99,store,0,129.99
77,997,2024-02-22 04:00:00,78,1,32.23,web,0,32.23
